,sent_id,text,Source,Target,Polar_expression,Polarity,Target_matching
286,1227999:3,Such a disappointment...,,,Such a disappointment...,Negative,False
287,1227999:4,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",,medicore,tons of restaurants,Positive,False
288,1230993:0,I had a grat time at Jekyll and Hyde!,,,,,False
289,1230993:1,I loved everythig about it-especially the shows and actors.,,,,,False
290,1230993:2,Our server was very helpful and friendly.,,Our server,friendly.,Positive,True
291,1230993:2,Our server was very helpful and friendly.,,Our server,very helpful,Positive,True
292,1230993:3,I am bringing my whole family back next time.,,,back,Positive,False
293,1230993:4,The food was good too.,,The food,good too.,Positive,True
294,1232468:0,The tuna and wasabe potatoes are excellent.,,The tuna,excellent.,Positive,True
295,1232468:0,The tuna and wasabe potatoes are excellent.,,wasabe potatoes,excellent.,Positive,True
296,1232468:1,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,,,,,False
297,1232468:2,"Inside is a little cramped, but to be expected.",,Inside,"a little cramped,",Negative,False
298,1232468:2,"Inside is a little cramped, but to be expected.",,Inside,to be expected.,Negative,False
299,1232468:3,Service was prompt and courteous.,,Service,prompt,Positive,True
300,1232468:3,Service was prompt and courteous.,,Service,courteous.,Positive,True
