sent_id,text,Source,Target,Polar_expression,Polarity,Target_matching,Type
513521:2,Drawbacks: service is slow and they don't toast!,,Drawbacks: service,slow,Negative,TRUE,train
513521:2,Drawbacks: service is slow and they don't toast!,,Drawbacks: service,they don't toast!,Negative,TRUE,train
571962:2,Good drink.,,drink.,Good,Positive,TRUE,train
1459569:2,Drinks way over priced.,,Drinks,priced.,Positive,TRUE,train
737999:2,Always good drinks and service is pretty good;,,drinks,good,Positive,TRUE,train
1609375:1,"We love the food, drinks, and atmosphere!",We,"drinks,",love,Positive,TRUE,train
682391:0,Best drumsticks over rice and sour spicy soup in town!,,drumsticks,Best,Positive,TRUE,train
713152:0,"Excellent dumplings served amid clean, chic decor.",,dumplings,Excellent,Positive,TRUE,train
713152:0,"Excellent dumplings served amid clean, chic decor.",,dumplings,Excellent,Positive,TRUE,train
512294:1,"If you are looking for a good quality, cheap eats - this is the place.",,eats,good,Positive,TRUE,train
512294:1,"If you are looking for a good quality, cheap eats - this is the place.",,eats,cheap,Positive,TRUE,train
CLF#1:0,A beautifully designed dreamy Egyptian restaurant that gets sceney at night.,,Egyptian restaurant,beautifully designed,Positive,TRUE,train
BHD#9:1,"An awesome organic dog, and a conscious eco friendly establishment.",,establishment.,friendly,Positive,TRUE,train
BHD#9:1,"An awesome organic dog, and a conscious eco friendly establishment.",,establishment.,conscious,Positive,TRUE,train
626269:0,Faan is sooo good.,,Faan,sooo good.,Positive,TRUE,train
1300636:3,"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.",,fish,enjoyed,Positive,TRUE,train
1404042:2,Fish was overdone.,,Fish,overdone.,Positive,TRUE,train
1626564:2,Fish is so very fresh.,,Fish,very fresh.,Positive,TRUE,train
BFC#4:2,It was totally overpriced- fish and chips was about $15....,,fish,overpriced-,Positive,TRUE,train
1016296:3,"Food was okay, nothing great.",,Food,"okay, nothing great.",Positive,TRUE,train
1062641:2,Food is great.,,Food,great.,Positive,TRUE,train
1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,,food,reasonable,Positive,TRUE,train
1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,,food,great,Positive,TRUE,train
1280166:2,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",,Food,very good,Positive,TRUE,train
1280179:3,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",,Food,"usually very good,",Negative,TRUE,train
1349391:0,sometimes i get good food and ok service.,,food,good,Positive,TRUE,train
1349391:1,"sometimes i get bad food and bad service, sometimes i get good good and bad service.",,food,bad,Positive,TRUE,train
1417496:0,A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,,food,great,Positive,TRUE,train
1439875:3,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,,food,greatest,Positive,TRUE,train
1439875:3,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,,food,good,Positive,TRUE,train
1572033:4,"Most importantly, food is excellent.",,food,excellent.,Positive,TRUE,train
1626564:1,Food is excellent.,,Food,excellent.,Positive,TRUE,train
1730014:1,"Service here was great, food was fantastic.",,food,fantastic.,Positive,TRUE,train
1748839:7,"For the people who want great food plus great service, Roxy is a place to AVOID!",,food,great,Positive,TRUE,train
430342:0,delicious simple food in nice outdoor atmosphere.,,food,delicious,Positive,TRUE,train
430342:0,delicious simple food in nice outdoor atmosphere.,,food,simple,Positive,TRUE,train
444818:2,"Best Italian food I ever had (and being Italian, that means alot).",,food,Best,Positive,TRUE,train
475298:2,Food is great and inexpensive.,,Food,great,Positive,TRUE,train
475298:2,Food is great and inexpensive.,,Food,inexpensive.,Positive,TRUE,train
485966:2,Service was good and food is wonderful.,,food,wonderful.,Positive,TRUE,train
493514:1,I cannot imagine better Indian food in all of the city.,,food,Indian,Negative,TRUE,train
541532:2,"Food was very good, but not what I would consider out of this world.",,Food,"very good,",Negative,TRUE,train
558423:4,"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",,food,great,Positive,TRUE,train
620892:6,"Food was just average...if they lowered the prices just a bit, it would be a bigger draw.",,Food,just average...if,Negative,TRUE,train
620892:6,"Food was just average...if they lowered the prices just a bit, it would be a bigger draw.",,Food,lowered the prices,Negative,TRUE,train
682391:3,Best Taiwanese food in NY!,,food,Best,Positive,TRUE,train
682391:3,Best Taiwanese food in NY!,,food,Taiwanese,Positive,TRUE,train
720418:0,Great Indian food and the service is incredible.,,food,Great,Positive,TRUE,train
720418:0,Great Indian food and the service is incredible.,,food,Indian,Positive,TRUE,train
720418:4,Great food and the prices are very reasonable.,,food,Great,Positive,TRUE,train
757762:0,Baluchi's has solid food and a nice decor at reasonable prices.,,food,solid,Positive,TRUE,train
773720:0,Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went.,,Food,good,Positive,TRUE,train
TM#7:0,Excellent food for great prices,,food,Excellent,Positive,TRUE,train
Y#5:0,overpriced japanese food with mediocre service,,food,overpriced,Positive,TRUE,train
Y#5:3,food was luke warm.,,food,luke warm.,Positive,TRUE,train
P#10:1,I can't remember the last time I had such gross food in New York.,,food,such gross,Negative,TRUE,train
TR#8:5,Food was OK.,,Food,OK.,Positive,TRUE,train
P#9:9,"Overall, decent food at a good price, with friendly people.",,food,"Overall, decent",Positive,TRUE,train
NP#3:1,Subtle food and service,,food,Subtle,Positive,TRUE,train
NP#4:2,"The menu looked great, and the waiter was very nice, but when the food came, it was average.",,food,average.,Positive,TRUE,train
ADLT#10:2,"for 7 years they have put out the most tasty, most delicious food and kept it that way...",,food,delicious,Positive,TRUE,train
TM#6:0,great food,,food,great,Positive,TRUE,train
CLF#3:28,"By the time we left our wallets were empy and so were our stomachs AND we missed the show we were supposed to see following our dinner, which would have been acceptable if we got to enjoy the experience of good food and belly dancers!",,food,good,Positive,TRUE,train
BG#5:0,Great Indian food,,food,Great,Positive,TRUE,train
BG#5:0,Great Indian food,,food,Indian,Positive,TRUE,train
BG#5:2,"Food was amazing - I love Indian food and eat it quite regularly, but I can say this is one of the best I've had.",,Food,amazing,Positive,TRUE,train
Z#10:0,Good Food,,Food,Good,Positive,TRUE,train
BFC#7:0,Fabulous food - if the front of house staff don't put you off ,,food,Fabulous,Positive,TRUE,train
1723658:1,"Great food, good size menu, great service and an unpretensious setting.",,"food,",size,Positive,TRUE,train
1723658:1,"Great food, good size menu, great service and an unpretensious setting.",,"food,",Great,Positive,TRUE,train
512294:0,"Great food, great prices, great service.",,"food,",Great,Positive,TRUE,train
530517:2,"Great food, great decor, great service.",,"food,",Great,Positive,TRUE,train
535171:2,"A cool bar with great food, and tons of excellent beer.",,"food,",great,Positive,TRUE,train
Z#3:0,"Excellent food, although the interior could use some help.",,"food,",Excellent,Positive,TRUE,train
NP#10:2,"Great food, amazing service, this place is a class act.",,"food,","amazing service,",Positive,TRUE,train
NP#10:2,"Great food, amazing service, this place is a class act.",,"food,",Great,Positive,TRUE,train
744478:1,"Fabulous decor - makes you feel like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!",,"food, cheaply-priced,",good,Positive,TRUE,train
1241906:0,"Great service, great food.",,food.,Great,Positive,TRUE,train
1241906:0,"Great service, great food.",,food.,great,Positive,TRUE,train
571962:1,Good food.,,food.,Good,Positive,TRUE,train
680390:1,The food's as good as ever.,,food's,good,Positive,TRUE,train
1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",,French food,the,Positive,TRUE,train
1318537:0,fresh restaurant was amazing........ food was delicious and of course fresh.,,fresh restaurant,delicious,Positive,TRUE,train
1303984:3,The scallion pancakes and fried dumplings were nothing out of the ordinary.,,fried dumplings,nothing out of the ordinary.,Positive,TRUE,train
FF#4:9,"The place has a nice fit-out, some attractive furnishings and, from what I could tell, a reasonable wine list (I was given the food menu when I asked for the carte des vins)",,furnishings,attractive,Positive,TRUE,train
535171:1,Not the typical NYC gimmick theme restaurant.,,gimmick theme restaurant.,Not the typical,Negative,TRUE,train
BzG#4:3,"All the various Greek and Cypriot dishes are excellent, but the gyro is the reason to come--if you don't eat one your trip was wasted.",,Greek,"excellent,",Positive,TRUE,train
1730014:2,"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.",,Guacamole+shrimp appetizer,"really great,",Negative,TRUE,train
490565:4,"You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.",,homey setting,great,Positive,TRUE,train
BHD#4:0,Great Hot Dogs!,,Hot Dogs!,Great,Positive,TRUE,train
BHD#6:0,great hot dogs..,,hot dogs..,great,Positive,TRUE,train
TM#6:6,"Best Indian Chinese in the city, by far!",,Indian Chinese,Best,Positive,TRUE,train
TM#3:0,Great Indian Food!,,Indian Food!,Great,Positive,TRUE,train
709294:2,Indoor was very cozy and cute.,,Indoor,very cozy,Positive,TRUE,train
709294:2,Indoor was very cozy and cute.,,Indoor,cute.,Positive,TRUE,train
1702257:1,Fresh ingredients and everything is made to order.,,ingredients,made to order.,Positive,TRUE,train
493013:1,"Its location is good and the fact that Hutner College is near and their prices are very reasonable, makes students go back to Suan again and again.",,Its location,good,Positive,TRUE,train
Z#5:6,Despite the confusing mirrors this will likely be my go-to for modern Japanese food for the foreseeable future.,,Japanese food,modern,Positive,TRUE,train
737999:0,Consistently good Japanese Tapas.,,Japanese Tapas.,good,Positive,TRUE,train
1649025:1,"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",I,jelly,recommend,Positive,TRUE,train
CLF#5:3,The have a great cocktail with Citrus Vodka and lemon and lime juice and mint leaves that is to die for!,,lemon,great,Positive,TRUE,train
1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",,Leon,an East Village gem: casual,Positive,TRUE,train
1300636:2,I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.,I,lobster,highly recommend,Positive,TRUE,train
RL#3:2,"lobster was good, nothing spectacular.",,lobster,"good, nothing spectacular.",Positive,TRUE,train
875139:0,"Love the scene first off- the place has a character and nice light to it..very fortunate, location wise.",,location,nice,Positive,TRUE,train
875139:0,"Love the scene first off- the place has a character and nice light to it..very fortunate, location wise.",,location,"fortunate,",Positive,TRUE,train
485767:3,The brioche and lollies as party favors is a cute and sweet touch to a most memorable meal.,,lollies,cute,Positive,TRUE,train
757762:5,There is no excuse for such lousy service!,,lousy service!,There is no,Negative,TRUE,train
CLF#8:0,Poor service and management,,management,Poor,Positive,TRUE,train
1286916:3,It's simply the best meal in NYC.,,meal,the best,Positive,TRUE,train
1606837:1,With the theater 2 blocks away we had a delicious meal in a beautiful room.,we,meal,delicious,Positive,TRUE,train
503807:6,The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,,meal,enjoy,Positive,TRUE,train
503807:6,The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,,meal,great,Positive,TRUE,train
DBG#6:7,"The meat is fresh, the sauces are great, you get kimchi and a salad free with your meal and service is good too.",,meal,good too.,Positive,TRUE,train
NP#9:0,Best meal in a long time!,,meal,Best,Positive,TRUE,train
Z#3:2,"I paid just about $60 for a good meal, though :)",,"meal,",good,Positive,TRUE,train
1394712:3,We won't go to this place again for a good meal.,,meal.,good,Positive,TRUE,train
1123262:0,I think I've had some the best meals of my life at minnow.,,meals,best,Positive,TRUE,train
1615322:3,This restaurant is VEGETARIAN; there are NO MEAT dishes whatsoever.,,MEAT dishes,there are NO,Negative,TRUE,train
1398844:2,"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",,menu,"typical of any Italian restaurant,",Negative,TRUE,train
1572027:3,I ate here a week ago and found most dishes average at best and too expensive.,,most dishes average,at best,Positive,TRUE,train
759781:2,"Most of the servers are very attentive, friendly and quite attractive.",,Most of the servers,"very attentive, friendly",Positive,TRUE,train
759781:2,"Most of the servers are very attentive, friendly and quite attractive.",,Most of the servers,quite attractive.,Positive,TRUE,train
1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",,"much tasty food, all of it fresh",is,Positive,TRUE,train
735448:2,"good music, great food, speedy service affordable prices.",,"music,",good,Positive,TRUE,train
NP#9:1,Mussles and calamari were superb Saturday evening.,,Mussles,superb Saturday evening.,Positive,TRUE,train
1713185:1,"The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.",,my food,soo spicy,Negative,TRUE,train
1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",,neighborhood,great,Positive,TRUE,train
430342:6,Great neighborhood joint.,,neighborhood joint.,Great,Positive,TRUE,train
Y#9:2,"They have great rolls, the triple color and norwegetan rolls, are awesome and filling.",,"norwegetan rolls,",awesome,Positive,TRUE,train
Y#9:2,"They have great rolls, the triple color and norwegetan rolls, are awesome and filling.",,"norwegetan rolls,",filling.,Positive,TRUE,train
1448587:4,Problem is nothing at Prune is particularly memorable.,,nothing at Prune,particularly memorable.,Positive,TRUE,train
1451107:4,Our food was great too!,,Our food,great too!,Positive,TRUE,train
1230993:2,Our server was very helpful and friendly.,,Our server,friendly.,Positive,TRUE,train
1230993:2,Our server was very helpful and friendly.,,Our server,very helpful,Positive,TRUE,train
430342:0,delicious simple food in nice outdoor atmosphere.,,outdoor atmosphere.,nice,Positive,TRUE,train
584025:1,Warm and friendly in the winter and terrific outdoor seating in the warmer months.,,outdoor seating,in the warmer,Positive,TRUE,train
584025:1,Warm and friendly in the winter and terrific outdoor seating in the warmer months.,,outdoor seating,terrific,Positive,TRUE,train
1702257:0,Nice Family owned traditional restaurant.,,owned traditional restaurant.,Family,Positive,TRUE,train
1702257:0,Nice Family owned traditional restaurant.,,owned traditional restaurant.,Nice,Positive,TRUE,train
632121:3,"Best of all is the warm vibe, the owner is super friendly and service is fast.",,owner,super friendly,Positive,TRUE,train
1353599:1,Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).,,panchetta (raddichio,kind of bitter,Negative,TRUE,train
1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,,Pastrami,Best,Positive,TRUE,train
1706644:4,"We ate out in the back patio, which is worth it as it's cool and the music is hear well there.",,"patio,",worth,Positive,TRUE,train
1138996:5,The people that work there are always so friendly you forget you are in New York sometimes.,,people,there are,Positive,TRUE,train
404464:0,"Thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.",,people,beautiful,Positive,TRUE,train
624715:2,People are always friendly.,,People,always friendly.,Positive,TRUE,train
1253117:5,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,,pie,best,Positive,TRUE,train
1153034:0,Great pizza and fantastic service.,,pizza,Great,Positive,TRUE,train
1367358:2,"Pizza is terrific, as is homemade pasta.",,Pizza,homemade pasta.,Positive,TRUE,train
1543345:1,Who has room for Cheesesticks with the best pizza in NYC!,,pizza,the best,Positive,TRUE,train
1730447:2,"By far, the best pizza in Manhattan.",,pizza,the best,Positive,TRUE,train
433878:0,This is a nice pizza place with good selection of thin crust pizza including the Basil slice.,,pizza,good,Positive,TRUE,train
620892:2,Pizza was a little soggy.,,Pizza,a little soggy.,Negative,TRUE,train
PP#3:1,Hands down the best pizza on the planet.,,pizza,the best,Positive,TRUE,train
1460715:0,Great pizza for lunch place.,,pizza for lunch place.,Great,Positive,TRUE,train
1661043:0,Pizza here is consistently good.,,Pizza here,consistently good.,Positive,TRUE,train
EVPK#10:0,Super YUMMY Pizza!,,Pizza!,Super,Positive,TRUE,train
1748813:0,I stumbled upon this great pizzeria as I explored my new neighborhood.,,pizzeria,great,Positive,TRUE,train
1293334:0,"If you are the type of person who likes being scared and entertained, this is a great place to go and eat.",,place,great,Positive,TRUE,train
1338124:5,"In any event, this is a place I'll be sure to stop by again when I'm in this part of town.",,place,I'll be sure to stop by again,Positive,TRUE,train
1353599:0,Right off the L in Brooklyn this is a nice cozy place with good pizza.,,place,cozy,Positive,TRUE,train
1353599:0,Right off the L in Brooklyn this is a nice cozy place with good pizza.,,place,nice,Positive,TRUE,train
1387314:0,I go and eat out at many different restaurants and this is one place you have go and try.,,place,you,Positive,TRUE,train
1623276:3,Not a great place for family or general dining.,,place,great,Positive,TRUE,train
1727363:1,This is a wonderful place on all stand points especially value ofr money.,,place,wonderful,Positive,TRUE,train
433878:0,This is a nice pizza place with good selection of thin crust pizza including the Basil slice.,,place,pizza,Positive,TRUE,train
433878:0,This is a nice pizza place with good selection of thin crust pizza including the Basil slice.,,place,nice,Positive,TRUE,train
445960:0,"This is such a lovely, peaceful place to eat outside.",,place,"lovely, peaceful",Positive,TRUE,train
445960:4,"This is a great place to take out-of-towners, and perfect for watching the sunset.",,place,great,Positive,TRUE,train
737999:4,A great place to meet up for some food and drinks...,,place,great,Positive,TRUE,train
773720:2,Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,,place,to eat.,Positive,TRUE,train
875139:0,"Love the scene first off- the place has a character and nice light to it..very fortunate, location wise.",,place,character,Positive,TRUE,train
RL#7:1,my favorite place lol,,place,favorite,Positive,TRUE,train
TM#3:3,"The food was good, the place was clean and affordable.",,place,clean,Positive,TRUE,train
BzG#2:3,It's a great place to order from or sit-in.,,place,great,Positive,TRUE,train
TM#4:1,Not a very fancy place but very good Chinese style Indian food.,,place,very fancy,Positive,TRUE,train
CLF#7:0,Gorgeous place ideal for a romantic dinner,,place,Gorgeous,Positive,TRUE,train
Z#10:3,Over all it was a very nice romantic place .,,place,romantic,Positive,TRUE,train
Z#10:3,Over all it was a very nice romantic place .,,place,very nice,Positive,TRUE,train
1357554:4,It's a nice place to relax and have conversation.,,place to relax,nice,Positive,TRUE,train
TR#3:0,Great place to relax and enjoy your dinner,,place to relax,Great,Positive,TRUE,train
BzG#2:0,"Great place, great value.",,"place,",Great,Positive,TRUE,train
528251:0,Fantastic place.,,place.,Fantastic,Positive,TRUE,train
TR#1:3,I highly recommend this beautiful place.,,place.,beautiful,Positive,TRUE,train
TR#1:3,I highly recommend this beautiful place.,I,place.,recommend,Positive,TRUE,train
1609375:0,Planet Thai is great!,,Planet Thai,great!,Positive,TRUE,train
BzG#1:1,But the best pork souvlaki I ever had is the main thing.,,pork,the best,Positive,TRUE,train
1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,,portion,great,Positive,TRUE,train
1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,,portion,ridiculous.,Positive,TRUE,train
1623276:1,The food is tasty and portion sizes are appropriate.,,portion sizes,appropriate.,Positive,TRUE,train
1451107:5,And really large portions.,,portions.,really large,Positive,TRUE,train
1451109:2,The food was pretty tradional but it was hot and good with large portions.,,portions.,large,Positive,TRUE,train
1340075:4,"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",,"price (congee, noodles,",reasonable,Positive,TRUE,train
TM#5:3,Helpful service and average price per dish $10.,,price per dish,average,Positive,TRUE,train
1225162:0,"Raga's is a romantic, cozy restaurant.",,Raga's,"a romantic, cozy restaurant.",Positive,TRUE,train
1212346:0,"Moules were excellent, lobster ravioli was VERY salty!",,ravioli,VERY salty!,Positive,TRUE,train
1496707:1,I had the best ravioli ever.,I,ravioli,best,Positive,TRUE,train
1264954:0,"On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.",,restaurant,great,Positive,TRUE,train
1623276:2,This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,,restaurant,nice,Positive,TRUE,train
BG#6:0,Best Indian Restaurant in the City,,Restaurant,Best,Positive,TRUE,train
